Date,ISO Week,Reporting week,Time (A),State,LGA,Village,Road,Lat,Long,Description,Incident type,Incident Category,Threat Category,Perpetrator,Target,Fatality
2/17/2021,8,12.02.2021 - 18.02.2021,05:00,ADAMAWA,MADAGALI,DUHU,,10.78749084,13.45122337,A male criminal *burlary* a private residence and rustled a sheep while the occupants were asleep. Vigilantes apprehended *arrest* *arrest* the criminal several hours later as he was trying to sell the sheep. ,Burglary,Theft,Criminality,Criminals,Civilians,0
2/17/2021,8,12.02.2021 - 18.02.2021,09:00,BORNO,GWOZA,KIRAWA,,11.19379997,13.91569042,"OAG operatives with rifles  Kidnap/Abduction two girls (a 9-year old and an 11-year old girls) in a farm. The victims were from Kirawa, Cameroon.",Kidnap/Abduction,Confine,Terrorism,OAG,Civilians,0
2/17/2021,8,12.02.2021 - 18.02.2021,10:00,ADAMAWA,MADAGALI,DUHU,,10.78749084,13.45122337,Vigilantes apprehended *arrest* *arrest* a male criminal at a market along with a male civilian who bought a sheep that had been *theft / mugging*n from a residence by the criminal earlier the same day in Duhu area. Vigilantes handed them over to GF/NA who moved them to Gulak.,Arrest/Detention,Confine,Criminality,Government Forces,Criminals,0
2/17/2021,8,12.02.2021 - 18.02.2021,10:00,GOMBE,BILLIRI,BILLIRI,GOMBE - KALTUNGO RD,9.871700287,11.22990036,A large number of civilians staged a demonstration and blocked a section of the road. They were protesting against the state authority over the illegitimate nomination of a traditional ruler in the town.,Protest,Rule,Civil Unrest,Civilians,Government Forces,0
2/17/2021,8,12.02.2021 - 18.02.2021,11:00,BORNO,MAGUMERI,CHINGOWA LAWANTI,MAIDUGURI - GUBIO RD,12.05160046,12.89900017,OAG operatives with rifles set up an *IVCP* along the road and fired shots at a commercial vehicle after the driver refused to stop at the VCP. No damages or casualties were reported. The operatives also carjacked a bus loaded with goods and Kidnap/Kidnap/Abductionion 10 passengers along with the driver.,IVCP,Confine,Terrorism,OAG,Civilians,0
2/17/2021,8,12.02.2021 - 18.02.2021,11:00,BORNO,MAGUMERI,KARNOWA,MAIDUGURI - GAJIRAM RD,12.15645027,13.07429028,OAG operatives with rifles set up an *IVCP* along the road and retreated upon sighting a GF/NA convoy approaching the location. ,IVCP,Confine,Terrorism,OAG,Civilians,0
2/17/2021,8,12.02.2021 - 18.02.2021,11:00,BORNO,NGANZAI,JIGALTA LAWANTI,MONGUNO - GAJIRAM RD,12.60083008,13.31811047,"OAG operatives with rifles set up an *IVCP* along the road, carjacked two commercial vehicles (a truck transporting fuel and another vehicle loaded with eggs) and Kidnap/Kidnap/Abductionion the drivers. The operatives freed the truck driver later the same day.  ",IVCP,Theft,Terrorism,OAG,Civilians,0
2/17/2021,8,12.02.2021 - 18.02.2021,11:00,BORNO,KONDUGA,KAWURI,,11.56739998,13.53149986,OAG operatives with rifles fired warning shots which prompted civilians that were fetching firewood to flee. No casualties were reported.,Intimidation,Threat,Terrorism,OAG,Civilians,0
2/17/2021,8,12.02.2021 - 18.02.2021,14:00,YOBE,GUJBA,BUNI YADI,,11.27612495,12.00770664,Vigilantes following a tip-off apprehended *arrest* *arrest* *arrest* a male criminal that had *theft / mugging*n a ram from a residence on 10.02.2021. They handed him over to GF/NPF.,Arrest/Detention,Confine,Criminality,Government Forces,Criminals,0
2/17/2021,8,12.02.2021 - 18.02.2021,16:00,BORNO,MOBBAR,LAYI,DAMASAK - GUBIO RD,12.97334957,12.59267998," ISWAP  operatives with rifles *ambush* a GF/NA convoy in transit along the road, prompting GF to return fire. The exchange of fire lasted for several minutes until the operatives retreated. During the armed clash, the operatives shot and killed one GF member while GF seized one OAG vehicle. ISWAP claimed the ambush on 18.02.2021 via Amaq.",Ambush,Attack,Armed Conflict,OAG,Government Forces,0
2/17/2021,8,12.02.2021 - 18.02.2021,17:00,ADAMAWA,LAMURDE,LAMURDE,,9.600000381,11.80000019,A criminal *theft / mugging* a motorcycle parked in front of a shop.,Theft/Mugging,Theft,Criminality,Criminals,Civilians,0
2/17/2021,8,12.02.2021 - 18.02.2021,18:00,BORNO,NGANZAI,UNKNOWN/OTHER SETTLEMENT,,12.63230038,13.18939972,OAG operatives freed a driver they had Kidnap/Kidnap/Abductionion during an *IVCP* at Jigalta Lawanti earlier in the afternoon on 17.02.2021.,IVCP,Rule,Terrorism,OAG,Civilians,0
2/17/2021,8,12.02.2021 - 18.02.2021,19:00,BORNO,BIU,MANDARAGIRAU,,10.69419956,12.32929993," ISWAP  operatives with rifles on three motorcycles arrived in the village, gathered the residents and preached their doctrine to them. The operatives also told residents that they had attacked Gur and Zira villages respectively on 12.02.2021 and 14.02.2021 because the population of those locations wronged them.  Subsequently, they told the residents that they should not be afraid of any attack in their village. The operatives left during the night. ",Intimidation,Rule,Terrorism,OAG,Civilians,0
2/18/2021,8,12.02.2021 - 18.02.2021,10:00,BORNO,MAGUMERI,KARERAM MULLUMTI,MAIDUGURI - GUBIO RD,12.19670963,12.78019047,OAG operatives with rifles aboard motorcycles set up an *IVCP* along the road and stopped several commercial vehicles in transit. They robbed the passengers of money and other valuables before allowing them to continue their journey.,IVCP,Theft,Terrorism,OAG,Civilians,0
2/18/2021,8,12.02.2021 - 18.02.2021,11:00,GOMBE,AKKO,TUMFURE,,10.28491116,11.08339977,"One male criminal raped *SEA* a female civilian in a residence. Shortly after, nearby civilians apprehended *arrest* *arrest* the criminal and handed him over to GF/NPF.",SEA,Attack,Criminality,Criminals,Civilians,0
2/18/2021,8,12.02.2021 - 18.02.2021,11:00,BORNO,DAMBOA,NGURWA,,11.25380039,12.85680008,"OAG operatives with rifles and knives entered a farm, beheaded five male farmers and *theft / mugging* their bicycles.",SAF attack,Attack,Terrorism,OAG,Civilians,0
2/18/2021,8,12.02.2021 - 18.02.2021,12:00,BORNO,NGANZAI,MILE 40,MAIDUGURI - GAJIRAM RD,12.37981033,13.15332985,OAG operatives with rifles set up an *IVCP* along the road and carjacked a truck loaded with foodstuff.,IVCP,Theft,Terrorism,OAG,Civilians,0
2/18/2021,8,12.02.2021 - 18.02.2021,13:00,BORNO,NGANZAI,GASARWA,MONGUNO - GAJIRAM RD,12.61835957,13.33203983,"OAG operatives with rifles set up an *IVCP* along the road. They carjacked a truck loaded with foodstuff and Kidnap/Kidnap/Abductionion the driver. The operatives ordered the passengers of one other commercial vehicle to disembark and also carjacked the second vehicle and Kidnap/Kidnap/Abductionion the driver. A few hours later, the operatives freed the driver and gave back the truck after offloading foodstuff from it.",IVCP,Theft,Terrorism,OAG,Civilians,0
2/18/2021,8,12.02.2021 - 18.02.2021,15:00,BORNO,MOBBAR,LAYI,DAMASAK - GUBIO RD,12.92311954,12.61501026," ISWAP  operatives with rifles aboard two vehicles mounted with HMGs and several motorcycles set up an *IVCP*, stopped several commercial vehicles in transit along the road and asked about GF presence in nearby Kareto town. Shortly after, the operatives moved to Kareto where they set up an informal VCP and clashed with GF. ISWAP claimed the attack on 18.02.2021 via Amaq.",IVCP,Confine,Terrorism,OAG,Civilians,0
2/18/2021,8,12.02.2021 - 18.02.2021,15:00,BORNO,MOBBAR,KARETO,DAMASAK - GUBIO RD,12.88321972,12.50796032," ISWAP  operatives with rifles aboard two vehicles mounted with HMGs and several motorcycles set up an *IVCP* along the road. GF/NA convoy in transit approached the VCP and exchanged fire with the operatives for several minutes until the operatives retreated. During the armed clash, GF shot and killed at least three operatives, seized two OAG vehicles and six motorcycles. Earlier, the operatives had set up a VCP at Layi before moving to this area. ISWAP claimed the attack on 18.02.2021 via Amaq.",Ambush,Attack,Armed Conflict,OAG,Government Forces,0
2/18/2021,8,19.02.2021 - 25.02.2021,04:00,BORNO,MONGUNO,MONGUNO,,12.67127609,13.61670399,Criminals *theft / mugging* three solar panels from a community borehole site.,Theft/Mugging,Theft,Criminality,Criminals,Civilians,0
2/18/2021,8,19.02.2021 - 25.02.2021,18:00,GOMBE,BALANGA,DONG,,9.951165199,11.69036484,GF/NPF acting on a tip-off deployed to a health facility and arrested two criminals that had sustained injuries during a clash with the herdsmen earlier the same day.  GF also arrested another criminal linked to the clash at the nearby market.,Arrest/Detention,Confine,Criminality,Government Forces,Criminals,0
2/18/2021,8,19.02.2021 - 25.02.2021,U/N,ADAMAWA,DEMSA,DONG,,9.399999619,11.91666698,"Criminals armed with machetes **knife attack* attack* rustled cattle from a Fulani settlement, prompting the herdsmen to mobilise and clash with the criminals. The clash lasted for several minutes until the criminals retreated with the cattle. During the clash, the herdsmen stabbed and injured two criminals. GF/NPF arrested the two injured criminals at a health facility on the same day. Additionally, they arrested one more criminal from the group at the market. ",Theft/Mugging,Theft,Criminality,Criminals,Tribal Militia,0
2/19/2021,8,19.02.2021 - 25.02.2021,05:00,BORNO,GWOZA,FIRGI,,11.2656002,13.7723999,"GF/CJTF together with vigilantes armed with handguns made contact with OAG operatives during a clearance operation. GF exchanged fire with them for several minutes until the operatives retreated. During the armed clash, GF shot and killed two operatives.",SAF attack,Attack,Armed Conflict,Government Forces,OAG,0
2/19/2021,8,19.02.2021 - 25.02.2021,10:00,ADAMAWA,MUBI SOUTH,LAMURDE WAMNGO,,10.23761845,13.2645483,Criminals *burlary* a residence and *theft / mugging* five bags of cement while the occupants were away.,Burglary,Theft,Criminality,Criminals,Civilians,0
2/19/2021,8,19.02.2021 - 25.02.2021,12:00,GOMBE,BILLIRI,BARE,,9.881531715,11.2319622,A mob of criminals armed with blunt weapons and stones vandalised several shops and set on fire several others. This incident followed a violent protest sparked by the delay in the nomination of a traditional ruler in Billiri LGA.,Protest,Attack,Civil Unrest,Criminals,Civilians,0
2/19/2021,8,19.02.2021 - 25.02.2021,13:00,GOMBE,BILLIRI,TODI,,9.766467094,11.13896179,A mob of criminals armed with blunt weapons and stones vandalised several shops and set on fire several others. This incident followed a violent protest sparked by the delay in the nomination of a traditional ruler in Billiri LGA.,Protest,Attack,Civil Unrest,Criminals,Civilians,0
2/19/2021,8,19.02.2021 - 25.02.2021,14:00,GOMBE,BILLIRI,BILLIRI,,9.864722252,11.2252779,"A group of youths of Tangale ethnicity armed with sticks clashed with a group of youths of Hausa ethnicity. At least five civilians died, one GF/NPF member and seven other civilians sustained injuries. Additionally, the youths set on fire several houses, shops and vehicles. The clash followed a violent protest initiated by the Tangales.",Ethno-political clash,Attack,Armed Conflict,Tribal Militia,Tribal Militia,0
2/19/2021,8,19.02.2021 - 25.02.2021,16:00,GOMBE,BILLIRI,BILLIRI,,9.864722252,11.2252779,The state government imposed a 24-hour curfew across Billiri LGA. The curfew was linked to the riots sparked by the election of the traditional ruler.,Movement restriction,Rule,Hazardous,Government Forces,Civilians,0
2/19/2021,8,19.02.2021 - 25.02.2021,16:00,BORNO,MAFA,MAIWA,MAIDUGURI - MAFA RD,11.87992954,13.44419003,OAG operatives with rifles set up an *IVCP* along the road. The operatives carjacked two commercial vehicles (a truck transporting goods and another vehicle) and Kidnap/Kidnap/Abductionion their drivers.,IVCP,Theft,Terrorism,OAG,Civilians,0
2/19/2021,8,19.02.2021 - 25.02.2021,17:00,BORNO,DIKWA,DIKWA,,12.03488064,13.91870022," ISWAP  operatives with rifles aboard several light trucks mounted with HMGs and motorcycles attacked two GF bases including the â€˜super camp formationâ€™ within the town. The operatives arrived through two axes: one group approached the â€˜super campâ€™ base from the northern axis while a second group accessed the base from the north-eastern axis. They exchanged fire with GF members for over one hour until GF vacated their base and retreated towards Ajiri along with several IO and NGO staff members. Concurrently, another group of operatives attacked the other GF base, prompting GF to vacate the position. They seized weaponry and set on fire some buildings within the base. Alongside, another GF contingent present in the city engaged the operatives, until the GF retreated to the outskirts of the town. Subsequently, GF deployed Close Air Support (CAS). The operatives maintained presence in the town and asked civilians not to flee, as they were only targeting GF members. The operatives observed prayers in the town. About 40 minutes later, the GF contingent that had retreated to the outskirts came back to engage the operatives. The exchange of fire lasted for several minutes until the GF retreated once again. During the armed clash, the operatives shot and killed 10 GF members, injured at least six others, seized vehicles and weaponry. Two civilians died and at least four others sustained injuries as a result of the crossfire while at least three NGO workers sustained psychological trauma following the incident. The operatives maintained their presence in town until 01:00hrs and then withdrew. ISWAP claimed the attack via Amaq on 20.02.2021.",SAF attack,Attack,Armed Conflict,OAG,Government Forces,0
2/19/2021,8,19.02.2021 - 25.02.2021,18:00,BORNO,MARTE,NEW MARTE,,12.24759388,13.87018394,"
GF/NAF conducted airstrikes against suspected  ISWAP  operatives. The outcome was unknown.",Airstrike,Attack,Armed Conflict,Government Forces,OAG,0
2/20/2021,8,19.02.2021 - 25.02.2021,00:00,BORNO,GWOZA,PULKA,,11.22495747,13.78128242,"
OAG operatives *armed attack* a GF/NA position, prompting GF to return fire until the operatives retreated. During the armed clash, the operatives shot and killed one GF member and seized his rifle. ",SAF attack,Attack,Armed Conflict,OAG,Government Forces,0
2/20/2021,8,19.02.2021 - 25.02.2021,03:00,ADAMAWA,MUBI NORTH,MUBI,,10.26595974,13.27225018,Criminals *burlary* a residence and *cattle rustling* while the occupants were asleep.,Burglary,Theft,Criminality,Criminals,Civilians,0
2/20/2021,8,19.02.2021 - 25.02.2021,10:00,BORNO,DAMBOA,KAFA,,11.31459999,12.47459984," ISWAP  operatives with rifles *ambush* a GF/NA convoy in transit along a secondary road using an SVBIED and direct fire. The SVBIED hit a GF vehicle leading the convoy while other operatives armed with rifles opened fire at the remaining vehicles, prompting GF to return fire. The armed clash lasted for several minutes until the GF retreated. During the armed clash, the operatives killed 14 GF members, injured six others, set on fire three GF vehicles, seized three GF vehicles and weaponry. ISWAP claimed the attack via Amaq on 21.02.2021.",Ambush,Attack,Armed Conflict,OAG,Government Forces,0
2/20/2021,8,19.02.2021 - 25.02.2021,10:00,BORNO,GWOZA,FIRGI,,11.26659966,13.78369999,GF/CJTF together with vigilantes armed with handguns made contact with OAG operatives during a clearance operation. The exchange of fire lasted for several minutes until the operatives retreated. GF shot and killed two operatives while a female civilian died as a result of the crossfire.,SAF attack,Attack,Armed Conflict,Government Forces,OAG,0
2/20/2021,8,19.02.2021 - 25.02.2021,11:00,BORNO,KONDUGA,MAIDURMARI,,11.5403204,13.48184013,A vigilante member stepped on an OAG-road planted IED along a secondary road during a joint vigilante and CJTF clearance operation. The explosion killed him. ,RSIED attack,Attack,Armed Conflict,OAG,Government Forces,0
2/20/2021,8,19.02.2021 - 25.02.2021,11:00,BORNO,NGANZAI,GASARWA,MONGUNO - GAJIRAM RD,12.62106037,13.33442974,OAG operatives with rifles set up an *IVCP* along the road and fired shots at two commercial vehicles that had turned around after sighting the VCP from afar. The vehicles sustained damage. No casualties were reported. ,IVCP,Attack,Terrorism,OAG,Civilians,0
2/20/2021,8,19.02.2021 - 25.02.2021,12:00,BORNO,GWOZA,BALA IBRAHIM,,11.325881,13.70386219,GF/CJTF together with vigilantes recovered six OAG family members (four women and two boys) during a clearance operation.,Clearance operations,Recover / Seize,Armed Conflict,Government Forces,OAG,0
2/20/2021,8,19.02.2021 - 25.02.2021,14:00,BORNO,KAGA,MALLUMTI,,11.81081009,12.47661018,OAG operatives with rifles shot and injured two male civilians that were fetching firewood while other civilians managed to escape. The operatives also set on fire one civilian vehicle.,SAF attack,Attack,Terrorism,OAG,Civilians,0
2/20/2021,8,19.02.2021 - 25.02.2021,14:00,BORNO,DAMBOA,KAFA,,11.31459999,12.47459984,A GF/NA vehicle (MRAP) hit an  ISWAP  road-planted IED while in transit along a secondary road. The explosion damaged the vehicle and injured two GF members. ISWAP claimed the attack via Amaq on 21.02.2021.,RSIED attack,Attack,Armed Conflict,OAG,Government Forces,0
2/20/2021,8,19.02.2021 - 25.02.2021,14:00,BORNO,KONDUGA,MALARI,,11.69089985,13.34990025,"OAG operatives with rifles fired warning shots which prompted civilians that were fetching firewood to abandon their vehicle and flee. Nearby vigilantes and hunters deployed and exchanged fire with the operatives until they retreated. During the armed clash, GF shot and killed one operative and one male civilian sustained injuries as a result of the crossfire while the operatives seized the abandoned vehicle.",SAF attack,Attack,Armed Conflict,OAG,Government Forces,0
2/20/2021,8,19.02.2021 - 25.02.2021,16:00,BORNO,DIKWA,DIKWA,DIKWA - MAFA RD,12.03299999,13.89834976,GF/NA restricted vehicular movements along the road. The restriction was linked to a GF operation in the general area.,Movement restriction,Rule,Hazardous,Government Forces,Civilians,0
2/20/2021,8,19.02.2021 - 25.02.2021,16:00,BORNO,NGANZAI,MILE 40,MAIDUGURI - GAJIRAM RD,12.37992001,13.1533699,OAG operatives with rifles set up an *IVCP* along the road and fired shots at two commercial vehicles that refused to stop at the VCP. The shots injured one driver and damaged his vehicle. The operatives also stopped two commercial vehicles in transit and robbed the passengers of money and other valuables before allowing them to continue their journey. ,IVCP,Attack,Terrorism,OAG,Civilians,0
2/20/2021,8,19.02.2021 - 25.02.2021,22:00,ADAMAWA,LAMURDE,MBEMUN,,9.569379807,11.83405972,Criminals armed with handguns shot and killed two male civilians and rustled their cattle.,Theft/Mugging,Theft,Criminality,Criminals,Civilians,0
2/20/2021,8,19.02.2021 - 25.02.2021,22:00,BORNO,MARTE,NEW MARTE,,12.24759388,13.87018394,"OAG operatives with rifles aboard several vehicles mounted with HMGs attacked a GF/NA base, prompting GF to return fire. The armed clash lasted for more than one hour until the operatives retreated. The operatives injured two GF members while one aged male IDP sustained injuries as a result of the crossfire.",SAF attack,Attack,Armed Conflict,OAG,Government Forces,0
2/20/2021,8,19.02.2021 - 25.02.2021,U/N,GOMBE,BILLIRI,BILLIRI,,9.864722252,11.2252779,GF/NPF arrested at least 20 civilians linked to violent protests that had occurred on 19.02.2021 in various areas within the town.,Arrest/Detention,Confine,Armed Conflict,Government Forces,Tribal Militia,0
2/21/2021,9,19.02.2021 - 25.02.2021,02:00,YOBE,GEIDAM,GEIDAM,,12.89520454,11.9264698,Criminals *burlary* a residence and *theft / mugging* phones and other valuables.,Burglary,Theft,Criminality,Criminals,Civilians,0
2/21/2021,9,19.02.2021 - 25.02.2021,09:00,BORNO,BAMA,ZUA,,11.32839298,13.85157299, GF/CJTF together with vigilantes armed with handguns made contact with OAG operatives during a clearance operation. The exchange of fire lasted for several minutes until the operatives retreated. GF shot and killed one operative and seized one OAG bicycle.,SAF attack,Attack,Armed Conflict,Government Forces,OAG,0
2/21/2021,9,19.02.2021 - 25.02.2021,11:00,BORNO,MARTE,NEW MARTE,,12.24759388,13.87018394,GF/NA discovered three road-planted IEDs along a secondary road during a clearance operation and carried out controlled detonations.,IED/UXO/ERW recovery,Rule,Armed Conflict,Government Forces,OAG,0
2/21/2021,9,19.02.2021 - 25.02.2021,11:00,BORNO,NGALA,MANAWAJI,,12.25936127,14.31317234,OAG operatives with rifles  Kidnap/Abduction three female civilians that were fetching firewood. ,Kidnap/Abduction,Confine,Terrorism,OAG,Civilians,0
2/21/2021,9,19.02.2021 - 25.02.2021,12:00,YOBE,DAMATURU,DAMATURU,,11.72920036,11.95110035,"Criminals *burlary* a residence, *theft / mugging* foodstuff and other valuables while the occupants were away.",Burglary,Theft,Criminality,Criminals,Civilians,0
2/21/2021,9,19.02.2021 - 25.02.2021,14:00,BORNO,NGANZAI,JIGALTA LAWANTI,MONGUNO - GAJIRAM RD,12.60062027,13.31793976,OAG operatives with rifles set up an *IVCP* along the road. They carjacked two commercial vehicles and Kidnap/Kidnap/Abductionion the drivers.,IVCP,Theft,Terrorism,OAG,Civilians,0
2/21/2021,9,19.02.2021 - 25.02.2021,17:00,YOBE,GUJBA,GONIRI,,11.48999977,12.33590031," ISWAP  operatives with rifles aboard several vehicles including one SVBIED  attacked a GF/NA position on the outskirts of the town. The SVBIED drove into a group of GF members and exploded while another group of operatives fired shots at the GF before retreating. The operatives shot and killed at least nine GF members, injured eight others and damaged one GF vehicle. ISWAP claimed the attack via a video posted by Amaq on 22.02.2021. ",VBIED attack,Attack,Armed Conflict,OAG,Government Forces,0
2/21/2021,9,19.02.2021 - 25.02.2021,17:00,BORNO,BAMA,BANKI,,11.25139999,14.14820004,"GF/CJTF recovered medical supplies, clothing, SIM cards and other valuables near the security trench. The items were suspected to have been hidden by an OAG accomplice residing in the IDP camp.",Asset recovery,Recover / Seize,Armed Conflict,Government Forces,OAG,0
2/21/2021,9,19.02.2021 - 25.02.2021,U/N,YOBE,YUSUFARI,KACHELLARI,,13.0383997,11.19750023,Criminals *burlary* a residence and rustled a ram.,Burglary,Theft,Criminality,Criminals,Civilians,0
2/22/2021,9,19.02.2021 - 25.02.2021,02:00,YOBE,GUJBA,BUNI YADI,,11.27612495,12.00770664,A male criminal *burlary* a shop and *theft / mugging* four bags of maize. Vigilantes apprehended *arrest* *arrest* him at 1300hrs the same day. ,Burglary,Theft,Criminality,Criminals,Civilians,0
2/22/2021,9,19.02.2021 - 25.02.2021,02:00,BORNO,KONDUGA,KAWURI,,11.57352161,13.5365715,"OAG operatives *armed attack* a GF/NA position, prompting GF to return fire until the operatives retreated. No casualties were reported.",SAF attack,Attack,Armed Conflict,OAG,Government Forces,0
2/22/2021,9,19.02.2021 - 25.02.2021,06:00,ADAMAWA,MUBI NORTH,WURO BARKA,,10.29870033,13.2488699, Kidnap/Abductionion  freed an aged woman upon payment of a ransom. The criminals had  Kidnap/Abductionion ped the victim from her residence at the same location on 15.02.2021.,Hostage release,Rule,Criminality,Criminals,Civilians,0
2/22/2021,9,19.02.2021 - 25.02.2021,08:00,BORNO,KUKAWA,KUKAWA,,12.92475319,13.56616783,OAG operatives with rifles aboard two vehicles entered the town and robbed the residents of mats and carpets. The operatives also *burglary* into mosques within the town and *theft / mugging* mats and carpets from there. No casualties were reported.,Theft/Mugging,Theft,Terrorism,OAG,Civilians,0
2/22/2021,9,19.02.2021 - 25.02.2021,09:00,BORNO,MARTE,NEW MARTE,,12.24759388,13.87018394,GF/NA discovered two road-planted IEDs along a secondary road during a clearance operation and carried out controlled detonations.,IED/UXO/ERW recovery,Rule,Armed Conflict,Government Forces,OAG,0
2/22/2021,9,19.02.2021 - 25.02.2021,11:00,BORNO,MARTE,KIRENAWA,,12.42499065,13.93729687,GF/NA discovered four road-planted IEDs on the outskirts of the town during a clearance operation and carried out controlled detonations.,IED/UXO/ERW recovery,Rule,Armed Conflict,Government Forces,OAG,0
2/22/2021,9,19.02.2021 - 25.02.2021,13:00,YOBE,GUJBA,BUNI YADI,,11.27612495,12.00770664,Vigilantes acting on a tip-off apprehended *arrest* *arrest* *arrest* a male criminal that had earlier *burlary* a shop around 02:00hrs the same day and handed him over to GF/NPF.,Arrest/Detention,Confine,Criminality,Government Forces,Criminals,0
2/22/2021,9,19.02.2021 - 25.02.2021,13:00,BORNO,KONDUGA,WUTURO,,11.63024044,13.38753986,OAG operatives with rifles fired warning shots prompting civilians to flee. The operatives rustled cattle before leaving. No casualties were reported.,Theft/Mugging,Theft,Terrorism,OAG,Civilians,0
2/22/2021,9,19.02.2021 - 25.02.2021,14:00,BORNO,KUKAWA,GARIN GIWA,,13.06079006,13.72550011,"OAG operatives with rifles and RPGs *ambush* a GF/NA convoy in transit along the road. The operatives launched an RPG that missed the GF convoy, landed in the vicinity of a Fulani settlement and injured one male civilian. ",Ambush,Attack,Armed Conflict,OAG,Government Forces,0
2/22/2021,9,19.02.2021 - 25.02.2021,14:00,BORNO,NGANZAI,BURIMARI,MONGUNO - GAJIRAM RD,12.56859016,13.30134964,OAG operatives with rifles set up an *IVCP* along the road and carjacked two commercial vehicles (a truck transporting foodstuff and another vehicle) and Kidnap/Kidnap/Abductionion the two drivers. ,IVCP,Theft,Terrorism,OAG,Civilians,0
2/22/2021,9,19.02.2021 - 25.02.2021,15:00,BORNO,GUZAMALA,BUNARI,MONGUNO - GAJIRAM RD,12.68469048,13.47091007,"OAG operatives with rifles set up an *IVCP* along the road, siphoned fuel from two commercial vehicles before setting them on fire. No casualties were reported.",IVCP,Theft,Terrorism,OAG,Civilians,0
2/22/2021,9,19.02.2021 - 25.02.2021,16:00,ADAMAWA,MUBI SOUTH,DIRBISHI,,10.19696426,13.41046715,Criminals armed with handguns  Kidnap/Abductionion  Kidnap/Abductionion Abductionion a female civilian while she was fetching water from a stream.,Kidnap/Abduction,Confine,Criminality,Criminals,Civilians,0
2/22/2021,9,19.02.2021 - 25.02.2021,23:00,BORNO,MAFA,MAIWA,MAIDUGURI - MAFA RD,11.87928963,13.44116974,"GF/NA *ambush* OAG operatives crossing the road and exchanged fire with them for several minutes until the operatives retreated. GF shot and killed at least 10 operatives, seized one OAG vehicle and four motorcycles.",Ambush,Attack,Armed Conflict,Government Forces,OAG,0
2/22/2021,9,19.02.2021 - 25.02.2021,U/N,BORNO,MARTE,CHIKUN GUDU,,12.36180019,13.87300014,"OAG operatives freed one male a driver that they had earlier Kidnap/Kidnap/Abductionion during an *IVCP* at Jigalta Lawanti, along Gajiram - Monguno road on 17.02.21. ",IVCP,Rule,Terrorism,OAG,Civilians,0
2/23/2021,9,19.02.2021 - 25.02.2021,03:00,BORNO,DIKWA,DIKWA,,12.03488064,13.91870022,"Criminals *burlary* shops and *theft / mugging* foodstuff. While they were leaving, nearby GF/NA sighted and fired shots at them, prompting the criminals to abandon the loot and retreat. No casualties were reported.",Burglary,Theft,Criminality,Criminals,Civilians,0
2/23/2021,9,19.02.2021 - 25.02.2021,03:00,YOBE,POTISKUM,POTISKUM,,11.71225548,11.07627487,Criminals *burlary* a residence and *theft / mugging* two mobile phones while the occupants were asleep.,Burglary,Theft,Criminality,Criminals,Civilians,0
2/23/2021,9,19.02.2021 - 25.02.2021,04:00,ADAMAWA,MUBI SOUTH,MUJARA,,10.18103027,13.36073971, Kidnap/Abductionion  freed a male civilian they had  Kidnap/Abductionion ped on 15.02.2021 upon payment of a ransom.,Hostage release,Rule,Criminality,Criminals,Civilians,0
2/23/2021,9,19.02.2021 - 25.02.2021,09:00,YOBE,GUJBA,BUNI GARI,,11.33100033,12.15569973,An unidentified explosive device suspected to be an UXO exploded after a sheep stepped on it in a CCECC construction site. The resulting explosion killed at least ten sheep and injured a female child shepherd. ,UXO explosion,Other Act,Terrorism,OAG,Civilians,0
2/23/2021,9,19.02.2021 - 25.02.2021,10:00,BORNO,MARTE,KIRENAWA,,12.42499065,13.93729687,GF/NA discovered two road-planted IEDs on the outskirts of the town during a clearance operation and carried out controlled detonations.,IED/UXO/ERW recovery,Rule,Armed Conflict,Government Forces,OAG,0
2/23/2021,9,19.02.2021 - 25.02.2021,14:00,BORNO,MARTE,MISSENE,,12.26549721,13.93846893," ISWAP  operatives fired shots at GF/NA who were conducting a clearance operation and disposing of OAG road-planted IEDs, prompting GF to return fire until the operatives retreated. During the armed clash, GF shot and killed at least eight operatives and damaged at least two ISWAP vehicles. ISWAP claimed to have repelled the attack via Amaq on 24.02.2021. ",RSIED attack,Attack,Armed Conflict,OAG,Government Forces,0
2/23/2021,9,19.02.2021 - 25.02.2021,14:00,BORNO,KONDUGA,KAWURI,,11.57352161,13.5365715,OAG operatives with rifles shot and injured one male civilian while he was fetching firewood and  Kidnap/Abduction two others.,Kidnap/Abduction,Attack,Terrorism,OAG,Civilians,0
2/23/2021,9,19.02.2021 - 25.02.2021,18:00,GOMBE,AKKO,KUMO,,10.0452776,11.21305561,GF/NPF arrested eight suspected â€˜Kalareâ€™ gang members during a search operation and seized knives and machetes **knife attack* attack* from them.,Arrest/Detention,Confine,Criminality,Government Forces,Criminals,0
